Device: cuda
=== 5xx Pure-Core Loss Dynamics Probe (no Qwen) ===
 Step |    Total |  StateCE |   AnsCE |    Mono
--------------------------------------------------
    0 |    4.149 |    2.303 |   2.303 |  0.0500
    1 |    4.122 |    2.295 |   2.279 |  0.0479
    2 |    4.118 |    2.292 |   2.278 |  0.0485
    3 |    4.175 |    2.310 |   2.325 |  0.0549
    4 |    4.151 |    2.305 |   2.302 |  0.0510
    5 |    4.164 |    2.303 |   2.322 |  0.0506
    6 |    4.168 |    2.308 |   2.319 |  0.0518
    7 |    4.191 |    2.316 |   2.338 |  0.0528
    8 |    4.211 |    2.331 |   2.346 |  0.0524
    9 |    4.169 |    2.312 |   2.316 |  0.0469
   10 |    4.184 |    2.316 |   2.331 |  0.0492
   11 |    4.127 |    2.296 |   2.284 |  0.0428
   12 |    4.145 |    2.300 |   2.302 |  0.0425
   13 |    4.136 |    2.298 |   2.294 |  0.0421
   14 |    4.165 |    2.308 |   2.316 |  0.0425
   15 |    4.152 |    2.300 |   2.311 |  0.0407
   16 |    4.149 |    2.303 |   2.304 |  0.0391
   17 |    4.146 |    2.304 |   2.299 |  0.0392
   18 |    4.109 |    2.287 |   2.274 |  0.0296
   19 |    4.157 |    2.307 |   2.308 |  0.0385
   20 |    4.172 |    2.314 |   2.319 |  0.0391
   21 |    4.136 |    2.296 |   2.296 |  0.0363
   22 |    4.167 |    2.312 |   2.314 |  0.0401
   23 |    4.130 |    2.292 |   2.294 |  0.0359
   24 |    4.133 |    2.293 |   2.296 |  0.0383
   25 |    4.226 |    2.335 |   2.359 |  0.0456
   26 |    4.172 |    2.307 |   2.328 |  0.0430
   27 |    4.163 |    2.306 |   2.317 |  0.0410
   28 |    4.144 |    2.301 |   2.300 |  0.0370
   29 |    4.180 |    2.315 |   2.327 |  0.0407
   30 |    4.129 |    2.297 |   2.286 |  0.0334
   31 |    4.201 |    2.328 |   2.337 |  0.0384
   32 |    4.168 |    2.313 |   2.315 |  0.0365
   33 |    4.162 |    2.313 |   2.308 |  0.0318
   34 |    4.142 |    2.307 |   2.291 |  0.0307
   35 |    4.153 |    2.307 |   2.303 |  0.0351
   36 |    4.102 |    2.278 |   2.276 |  0.0320
   37 |    4.161 |    2.310 |   2.310 |  0.0300
   38 |    4.148 |    2.303 |   2.302 |  0.0303
   39 |    4.230 |    2.342 |   2.357 |  0.0337
   40 |    4.185 |    2.317 |   2.331 |  0.0286
   41 |    4.156 |    2.306 |   2.310 |  0.0315
   42 |    4.179 |    2.311 |   2.331 |  0.0321
   43 |    4.172 |    2.308 |   2.327 |  0.0307
   44 |    4.112 |    2.290 |   2.275 |  0.0269
   45 |    4.150 |    2.310 |   2.298 |  0.0253
   46 |    4.110 |    2.290 |   2.272 |  0.0244
   47 |    4.170 |    2.310 |   2.322 |  0.0283
   48 |    4.190 |    2.319 |   2.336 |  0.0315
   49 |    4.199 |    2.321 |   2.345 |  0.0331
   50 |    4.179 |    2.313 |   2.329 |  0.0319
   51 |    4.131 |    2.300 |   2.286 |  0.0275
   52 |    4.179 |    2.310 |   2.333 |  0.0345
   53 |    4.147 |    2.305 |   2.300 |  0.0256
   54 |    4.149 |    2.303 |   2.304 |  0.0289
   55 |    4.106 |    2.290 |   2.268 |  0.0220
   56 |    4.160 |    2.308 |   2.313 |  0.0287
   57 |    4.134 |    2.299 |   2.291 |  0.0271
   58 |    4.166 |    2.313 |   2.314 |  0.0278
   59 |    4.102 |    2.282 |   2.273 |  0.0241
   60 |    4.177 |    2.314 |   2.326 |  0.0269
   61 |    4.106 |    2.288 |   2.270 |  0.0225
   62 |    4.135 |    2.291 |   2.302 |  0.0301
   63 |    4.220 |    2.328 |   2.361 |  0.0361
   64 |    4.156 |    2.303 |   2.312 |  0.0315
   65 |    4.151 |    2.300 |   2.312 |  0.0292
   66 |    4.128 |    2.293 |   2.291 |  0.0281
   67 |    4.185 |    2.319 |   2.329 |  0.0321
   68 |    4.150 |    2.310 |   2.298 |  0.0264
   69 |    4.126 |    2.295 |   2.286 |  0.0250
   70 |    4.184 |    2.317 |   2.331 |  0.0322
   71 |    4.164 |    2.308 |   2.317 |  0.0288
   72 |    4.120 |    2.297 |   2.277 |  0.0225
   73 |    4.169 |    2.314 |   2.315 |  0.0278
   74 |    4.144 |    2.299 |   2.303 |  0.0269
   75 |    4.207 |    2.326 |   2.348 |  0.0315
   76 |    4.195 |    2.326 |   2.333 |  0.0292
   77 |    4.128 |    2.296 |   2.287 |  0.0243
   78 |    4.129 |    2.304 |   2.278 |  0.0192
   79 |    4.182 |    2.320 |   2.324 |  0.0261

Saved probe checkpoint to checkpoints/5xx_loss_dynamics_probe/5xx_core_probe_last.pt
First 8 losses: [4.149, 4.122, 4.118, 4.175, 4.151, 4.164, 4.168, 4.191]
Last 8 losses : [4.12, 4.169, 4.144, 4.207, 4.195, 4.128, 4.129, 4.182]
