step 15/150 | train_loss=0.021240 | eval_loss=0.047852 | reasoning_heldout=1/8(0.12) memory_heldout=2/8(0.25)
step 30/150 | train_loss=0.014221 | eval_loss=0.047852 | reasoning_heldout=1/8(0.12) memory_heldout=2/8(0.25)
step 45/150 | train_loss=0.008850 | eval_loss=0.047607 | reasoning_heldout=1/8(0.12) memory_heldout=4/8(0.50)
step 60/150 | train_loss=0.008606 | eval_loss=0.047852 | reasoning_heldout=1/8(0.12) memory_heldout=4/8(0.50)
step 75/150 | train_loss=0.005615 | eval_loss=0.047852 | reasoning_heldout=1/8(0.12) memory_heldout=4/8(0.50)
step 15/150 | train_loss=0.041260 | eval_loss=0.046631 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 30/150 | train_loss=0.052734 | eval_loss=0.046387 | reasoning_heldout=3/8(0.38) memory_heldout=3/8(0.38)
step 45/150 | train_loss=0.041016 | eval_loss=0.045898 | reasoning_heldout=3/8(0.38) memory_heldout=3/8(0.38)
step 60/150 | train_loss=0.031738 | eval_loss=0.045654 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 75/150 | train_loss=0.029663 | eval_loss=0.044922 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 90/150 | train_loss=0.032715 | eval_loss=0.044434 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 105/150 | train_loss=0.032715 | eval_loss=0.044189 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 120/150 | train_loss=0.025024 | eval_loss=0.043945 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 135/150 | train_loss=0.030273 | eval_loss=0.043701 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
step 150/150 | train_loss=0.013672 | eval_loss=0.043457 | reasoning_heldout=4/8(0.50) memory_heldout=3/8(0.38)
