step 545/590 | train_loss=0.162222 | eval_loss=0.047119
step 550/590 | train_loss=0.164175 | eval_loss=0.047119
step 555/590 | train_loss=0.164400 | eval_loss=0.047119
step 560/590 | train_loss=0.163027 | eval_loss=0.047119
step 565/590 | train_loss=0.166665 | eval_loss=0.047119
step 570/590 | train_loss=0.181892 | eval_loss=0.047119
step 575/590 | train_loss=0.190286 | eval_loss=0.047119
step 580/590 | train_loss=0.191421 | eval_loss=0.047119
step 585/590 | train_loss=0.192952 | eval_loss=0.047119
step 590/590 | train_loss=0.188870 | eval_loss=0.047119
step 545/590 | train_loss=0.180569 | eval_loss=0.045410
step 550/590 | train_loss=0.182205 | eval_loss=0.045654
step 555/590 | train_loss=0.189379 | eval_loss=0.045654
step 560/590 | train_loss=0.175769 | eval_loss=0.045410
step 565/590 | train_loss=0.167153 | eval_loss=0.045654
step 570/590 | train_loss=0.165756 | eval_loss=0.045410
step 575/590 | train_loss=0.192385 | eval_loss=0.045654
step 580/590 | train_loss=0.201931 | eval_loss=0.045410
step 585/590 | train_loss=0.204457 | eval_loss=0.045410
step 590/590 | train_loss=0.180920 | eval_loss=0.045654
step 545/590 | train_loss=0.209707 | eval_loss=0.048828
step 550/590 | train_loss=0.211758 | eval_loss=0.048584
step 555/590 | train_loss=0.202750 | eval_loss=0.048584
step 560/590 | train_loss=0.210574 | eval_loss=0.048584
step 565/590 | train_loss=0.208462 | eval_loss=0.048584
step 570/590 | train_loss=0.204862 | eval_loss=0.048584
step 575/590 | train_loss=0.201834 | eval_loss=0.048584
step 580/590 | train_loss=0.192920 | eval_loss=0.048584
step 585/590 | train_loss=0.207348 | eval_loss=0.048584
step 590/590 | train_loss=0.202480 | eval_loss=0.048584
step 545/590 | train_loss=0.246304 | eval_loss=0.032227
step 550/590 | train_loss=0.247634 | eval_loss=0.032227
step 555/590 | train_loss=0.249358 | eval_loss=0.032471
step 560/590 | train_loss=0.244131 | eval_loss=0.032471
step 565/590 | train_loss=0.229749 | eval_loss=0.032471
step 570/590 | train_loss=0.223681 | eval_loss=0.032471
step 575/590 | train_loss=0.227297 | eval_loss=0.032471
step 580/590 | train_loss=0.220376 | eval_loss=0.032471
step 585/590 | train_loss=0.224628 | eval_loss=0.032471
step 590/590 | train_loss=0.226003 | eval_loss=0.032471
step 545/590 | train_loss=0.191726 | eval_loss=0.047607
step 550/590 | train_loss=0.190310 | eval_loss=0.047607
