step 420/700 | train_loss=0.025757 | eval_loss=0.039795 | reasoning_heldout=0/8(0.00) memory_heldout=3/8(0.38)
step 450/700 | train_loss=0.027954 | eval_loss=0.038086 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 480/700 | train_loss=0.024658 | eval_loss=0.038330 | reasoning_heldout=0/8(0.00) memory_heldout=3/8(0.38)
step 510/700 | train_loss=0.025879 | eval_loss=0.038818 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 540/700 | train_loss=0.031494 | eval_loss=0.037598 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 570/700 | train_loss=0.056885 | eval_loss=0.038086 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 600/700 | train_loss=0.084473 | eval_loss=0.036621 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 630/700 | train_loss=0.107422 | eval_loss=0.036377 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 660/700 | train_loss=0.121094 | eval_loss=0.036377 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 690/700 | train_loss=0.039551 | eval_loss=0.036377 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
step 700/700 | train_loss=0.021729 | eval_loss=0.036621 | reasoning_heldout=1/8(0.12) memory_heldout=3/8(0.38)
