파일 시스템     크기  사용  가용 사용% 마운트위치
tmpfs           9.5G   26M  9.4G    1% /run
/dev/nvme0n1p3  272G  231G   27G   90% /
tmpfs            48G   41M   47G    1% /dev/shm
tmpfs           5.0M   20K  5.0M    1% /run/lock
efivarfs        256K  123K  129K   49% /sys/firmware/efi/efivars
/dev/sda1       916G  849G   21G   98% /mnt/sda1
/dev/nvme1n1p2  915G  820G   49G   95% /mnt/nvme0n1p2
/dev/nvme0n1p1  1.1G  6.2M  1.1G    1% /boot/efi
/dev/sdc1       932G  924G  8.2G  100% /mnt/sdc1
/dev/nvme0n1p2  643G  610G     0  100% /mnt/nvme1n1p2
tmpfs           9.5G  144K  9.5G    1% /run/user/1000
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/bfc0b35459aa5254587a46f37885b84cde4ac0182b716b99de660403fd723d24/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9f4382f14d6bb220506c99a0b04e8c84bce1546691db5ab1dd5870cb41a2efab/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/eee5b0f5e973615d7c5d655ee3c4cb498fee9b1af6361e5e7112f02be3201010/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/dde63ceea6ca80f7e68636ece2ff9bf2cca87848324376806306b3d9c795a85a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a36c32b7f038544409f5409ab38341cca231841adb485d606acaf26e797d4fe9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/23cafc6be9f6fb5dd7832361b1516df2f1058076865b576d9d3958c80acc378b/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/735d3e1f7d0be53018bf95180d840baec4195ac3443a6c344457331ff6a29b8f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/911981aa00af53845f8f92752bf56380b0c9e4fe32b56ce172c0e72e4ae93009/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/ac528f4eac5f4539f5980980e46dbb49a58548a51f64e61b7fe934241dd700e7/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/4f478da858a7bd1d41159a23269df7de6abbff46b5f95b15f97788c86c985fda/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9e4a7bb1bb6ba8a92edce94ed5d516573d5955de519385231b16723d8f1726b8/shm
