step 37/40 | train_loss=0.204102 | eval_loss=0.034668
step 38/40 | train_loss=0.177734 | eval_loss=0.034668
step 37/40 | train_loss=0.226562 | eval_loss=0.037354
step 38/40 | train_loss=0.197266 | eval_loss=0.037354
step 39/40 | train_loss=0.178711 | eval_loss=0.037354
step 37/40 | train_loss=0.175781 | eval_loss=0.044922
step 38/40 | train_loss=0.152344 | eval_loss=0.044922
step 39/40 | train_loss=0.146484 | eval_loss=0.044922
step 37/40 | train_loss=0.212891 | eval_loss=0.039062
step 38/40 | train_loss=0.184570 | eval_loss=0.039062
step 39/40 | train_loss=0.169922 | eval_loss=0.039062
step 37/40 | train_loss=0.189453 | eval_loss=0.036377
step 38/40 | train_loss=0.162109 | eval_loss=0.036377
step 39/40 | train_loss=0.151367 | eval_loss=0.036377
step 37/40 | train_loss=0.184570 | eval_loss=0.042236
step 38/40 | train_loss=0.159180 | eval_loss=0.042236
step 39/40 | train_loss=0.152344 | eval_loss=0.041992
step 37/40 | train_loss=0.203125 | eval_loss=0.045654
step 38/40 | train_loss=0.180664 | eval_loss=0.045410
step 39/40 | train_loss=0.168945 | eval_loss=0.045410
step 37/40 | train_loss=0.231445 | eval_loss=0.058594
step 38/40 | train_loss=0.203125 | eval_loss=0.058594
step 39/40 | train_loss=0.177734 | eval_loss=0.058350
step 37/40 | train_loss=0.162109 | eval_loss=0.050781
step 38/40 | train_loss=0.140625 | eval_loss=0.050781
step 39/40 | train_loss=0.136719 | eval_loss=0.050781
step 37/40 | train_loss=0.230469 | eval_loss=0.046631
step 38/40 | train_loss=0.205078 | eval_loss=0.046631
step 39/40 | train_loss=0.194336 | eval_loss=0.046387
step 37/40 | train_loss=0.204102 | eval_loss=0.048828
step 38/40 | train_loss=0.178711 | eval_loss=0.048584
step 39/40 | train_loss=0.153320 | eval_loss=0.048340
step 40/40 | train_loss=0.130859 | eval_loss=0.048096
